iter	Logloss
0	0.6662097836
1	0.642468303
2	0.6256831119
3	0.6055733103
4	0.5892357908
5	0.5750071617
6	0.5600119918
7	0.5487522037
8	0.5364803776
9	0.5285915541
10	0.5228049758
11	0.5146889122
12	0.5070729221
13	0.4997353935
14	0.4944324412
15	0.4912662886
16	0.4857067308
17	0.4783563072
18	0.4724808558
19	0.4668788542
20	0.4640329617
21	0.4589680628
22	0.4535520993
23	0.4491674719
24	0.4447840391
25	0.4422521292
26	0.4400340997
27	0.4360478347
28	0.4326943923
29	0.4302826243
30	0.4283685548
31	0.4269431563
32	0.4224422117
33	0.4201219623
34	0.4179880736
35	0.4150434688
36	0.4122428812
37	0.4096999932
38	0.4077098958
39	0.4045740113
40	0.4033879172
41	0.4001914533
42	0.3973518042
43	0.395302815
44	0.3921862554
45	0.3899410308
46	0.3868547816
47	0.3854606298
48	0.3837175928
49	0.3811112858
50	0.3790335388
51	0.377229945
52	0.3759009078
53	0.3732326665
54	0.3712671809
55	0.3701043398
56	0.368663227
57	0.3672771357
58	0.3661848283
59	0.3653014526
60	0.3639674918
61	0.3621867777
62	0.3607268461
63	0.3577532215
64	0.3564716966
65	0.3550745485
66	0.3530775549
67	0.3510968747
68	0.3492564244
69	0.3477478702
70	0.3463613261
71	0.3448064611
72	0.3423361331
73	0.3403067812
74	0.3386043871
75	0.3367489754
76	0.3351807049
77	0.33363394
78	0.3317369349
79	0.3299920407
80	0.3282163014
81	0.3268637046
82	0.3253364168
83	0.3240782296
84	0.3226942024
85	0.3210194515
86	0.3201658759
87	0.3185474643
88	0.3173214798
89	0.3158090443
90	0.3145268097
91	0.3126407081
92	0.3119919319
93	0.310979634
94	0.3096315514
95	0.3082942778
96	0.3077630491
97	0.3060104972
98	0.3053987299
99	0.3043007401
