iter	Passed	Remaining
0	1	192
1	3	168
2	4	158
3	6	152
4	7	148
5	9	144
6	10	143
7	12	141
8	13	138
9	15	135
10	16	133
11	17	131
12	19	129
13	20	127
14	22	125
15	23	122
16	24	120
17	26	118
18	27	117
19	28	115
20	30	112
21	30	108
22	32	107
23	33	106
24	34	104
25	36	103
26	37	101
27	38	99
28	40	98
29	41	96
30	42	95
31	43	93
32	44	90
33	45	88
34	46	86
35	47	85
36	48	83
37	49	81
38	50	79
39	52	78
40	53	76
41	54	74
42	55	73
43	56	71
44	57	70
45	58	68
46	59	67
47	60	65
48	61	64
49	62	62
50	63	61
51	64	59
52	65	58
53	66	56
54	67	55
55	68	53
56	69	52
57	69	50
58	70	49
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	96	18
84	97	17
85	98	15
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	106	5
95	107	4
96	109	3
97	110	2
98	111	1
99	112	0
